README.md:48: table-row 279 > 200	`--ship-logs`
README.md:67: table-row 271 > 200	`--pairs <PAIR>`
README.md:104: section 19663 > 2048	### `zcrypto engine`<a name="zcrypto-engine"></a>
README.md:114: table-row 279 > 200	`seed`
README.md:115: table-row 678 > 200	`run`
README.md:116: table-row 360 > 200	`cycle [--at ISO_TS] [--replace]`
README.md:117: table-row 465 > 200	`replay [--date YYYY-MM-DD] [--path fast\
README.md:118: table-row 337 > 200	`report [--journal-dir <PATH>]`
README.md:119: table-row 2480 > 200	`gate-export --textfile <PATH> [--journal-dir <PATH>] [--healthcheck-url <URL>] [--lag-fail-seconds <SECS>] [--cache <PATH>]`
README.md:120: table-row 3447 > 200	`soak-check [--journal-dir <PATH>] [--store-dir <PATH>] [--canonical-dir <PATH>] [--registry <PATH>] [--fee-per-side <RATE>] [--band <FLOAT>] [--floor <N>] [--null windows\
README.md:121: table-row 1225 > 200	`decompose [--journal-dir <PATH>] [--since YYYY-MM-DD] [--until YYYY-MM-DD] [--json]`
README.md:122: table-row 1468 > 200	`accum-replay [--journal-dir <PATH>] [--since YYYY-MM-DD] [--until YYYY-MM-DD] [--minimums <PATH>] [--nav <EUR>]… [--json]`
README.md:123: table-row 4484 > 200	`tracking-report [--journal-dir <PATH>] [--since YYYY-MM-DD] [--until YYYY-MM-DD] [--nav <EUR>] [--gate-from YYYY-Www] [--minimums <PATH>] [--simulated-fills] [--ledger-export <PATH>] [--json]`
README.md:124: table-row 662 > 200	`exec-status [--state-dir <PATH>]`
README.md:125: table-row 2227 > 200	`flatten --state-dir <PATH> [--execute]`
README.md:126: table-row 830 > 200	`probe-plan <PATH> --check`
README.md:154: section 14603 > 2048	### `zcrypto archive`<a name="zcrypto-archive"></a>
README.md:166: table-row 241 > 200	`--hash-scope`
README.md:214: table-row 219 > 200	`--state-dir`
README.md:216: table-row 282 > 200	`--drain-budget-seconds`
README.md:217: table-row 252 > 200	`--audit-sample`
README.md:249: section 4441 > 2048	### `zcrypto panel`<a name="zcrypto-panel"></a>
README.md:266: table-row 229 > 200	`--settle-hours`
README.md:276: section 5439 > 2048	### `zcrypto data`<a name="zcrypto-data"></a>
README.md:324: section 2406 > 2048	### `zcrypto research`<a name="zcrypto-research"></a>
README.md:396: table-row 433 > 200	`tracking_band_bps`
cli/alpha/b1.py:1: file-prose 21.3 > 20
cli/alpha/b1.py:53: comment-block 17 > 4	"""Walk-forward seasonality gate per return index k (docs/specs/00045 sec"The overlay" 1-2):
cli/alpha/b1.py:128: comment-block 16 > 4	"""Composition-invariant vol-state scaler per return index k (docs/specs/00045 sec"The overlay"
cli/alpha/killbar.py:1: file-prose 29.2 > 20
cli/alpha/killbar.py:28: comment-block 46 > 4	"""The Phase-4 kill bar (docs/research/00.master-plan.md sec12; docs/specs/00031), folded to the
cli/alpha/killbar.py:152: comment-block 5 > 4	"""Isolated whipsaw diagnostic for the short leg (finding-2's whipsaw kill test, docs/specs/00031):
cli/alpha/killbar.py:183: comment-block 15 > 4	"""Net-of-cost head-to-head verdict: the SPA check the pre-registered `a1_kill_bar`'s SPA leg omits.
cli/alpha/killbar.py:236: comment-block 18 > 4	"""Benchmark-relative, exposure-aware alternative to `a1_kill_bar`'s worst-slice leg.
cli/archive/command.py:1: comment-block 14 > 4	"""The `zcrypto archive` Typer sub-app (spec 00048 Role A): pull a source tree via rsync-over-ssh
cli/archive/command.py:1: file-prose 26.7 > 20
cli/archive/command.py:92: comment-block 5 > 4	# StrictHostKeyChecking=yes fails closed: the VPS key must already be in the pinned known_hosts
cli/archive/command.py:102: comment-block 7 > 4	# --chmod forces the archived tree to the mandated 0775 dirs / 0664 files (spec 00048): the NAS
cli/archive/command.py:209: comment-block 5 > 4	# The verify cost is best-effort: an unwritable textfile must never preempt the Exit(1)
cli/archive/command.py:228: comment-block 17 > 4	"""The overlay's append-only audit ledger, and the ONLY state a one-shot reconciler carries.
cli/archive/command.py:271: comment-block 7 > 4	"""The fleet-dark windows the ledger has ALREADY booked as loss for `pair`'s stream in `hour`.
cli/archive/command.py:294: comment-block 8 > 4	"""The residual windows `pair`'s own book record already booked as loss for `hour`.
cli/archive/command.py:314: comment-block 19 > 4	"""One healed book hour's ledger record, with every second attributed EXACTLY once.
cli/archive/command.py:351: comment-block 11 > 4	"""The exporter's cumulative counters, derived from the WHOLE ledger.
cli/archive/command.py:408: comment-block 5 > 4	# Inside the dedup, for the same reason `healable` is: an hour ledgered `would_mint` in
cli/archive/command.py:414: comment-block 8 > 4	# `healable` is the gap rate, and it must exist in DETECT-ONLY -- minting stays off for the
cli/archive/command.py:430: comment-block 8 > 4	"""Age of the mirror's newest final -- a dead source detected via DATAFLOW, independently of its
cli/archive/command.py:462: comment-block 5 > 4	# Prometheus's text format spells the non-finite values `+Inf` / `-Inf` / `NaN`; Python's f-string
cli/archive/command.py:603: comment-block 17 > 4	"""Reconcile the two raw mirrors into the healed overlay.
cli/archive/command.py:628: comment-block 5 > 4	# `_load_ledger` + `_totals` are the two halves of the O(ledger) scan T0044 tracked (resolved
cli/archive/command.py:719: comment-block 6 > 4	# A permanent-loss finding is announced ONCE, on the cycle that decides it -- both branches below
cli/archive/command.py:735: comment-block 7 > 4	# --- total_loss ------------------------------------------------------------------------
cli/archive/command.py:794: comment-block 16 > 4	# Book each stream its OWN silence window around each intersection, not the
cli/archive/command.py:912: comment-block 6 > 4	# Primary silence NO secondary update witnessed. Ledgered for visibility and counted
cli/archive/command.py:1088: comment-block 6 > 4	# Never cache an hour THIS cycle changed. The stored fingerprint is the PRE-pass one, so a
cli/archive/command.py:1190: comment-block 16 > 4	"""Continuity-replay every canonical book hour (reconciled-first, primary otherwise) through
cli/archive/command.py:1279: comment-block 5 > 4	# Both surfaces carry the census: the runner parses the log line, an operator reads the echo.
cli/archive/command.py:1330: comment-block 11 > 4	"""Heal the canonical trade stream to a contiguous, duplicate-free trade_id sequence: detect gaps
cli/archive/pull.py:1: file-prose 32.5 > 20
cli/archive/pull.py:36: comment-block 8 > 4	# Spec 00102 D3. A final is re-hashed in the cycle whose rotation index equals its slice, so every
cli/archive/pull.py:56: comment-block 11 > 4	"""Walk every final under `root`; hash each against its sidecar, or only a subset.
cli/archive/pull.py:104: comment-block 7 > 4	"""The dest-relative `*.parquet` names in rsync's `--out-format='%i %n'` output.
cli/archive/pull.py:120: comment-block 15 > 4	"""Delete the `<HH>.part####.parquet` siblings of each VERIFIED final. Returns (hours, parts_deleted).
cli/archive/reader.py:1: comment-block 12 > 4	"""The canonical read surface (spec 00050 D6).
cli/archive/reader.py:1: file-prose 41.2 > 20
cli/archive/reader.py:40: comment-block 7 > 4	"""Yield `(pair, hour, path)` for every canonical hour: reconciled-first, primary otherwise.
cli/archive/reconcile.py:1: comment-block 13 > 4	"""Pure reconciliation logic for spec 00050: cross-stream book-gap detection.
cli/archive/reconcile.py:1: file-prose 43.6 > 20
cli/archive/reconcile.py:30: comment-block 17 > 4	"""A window in which the primary stream was silent and the secondary was demonstrably alive.
cli/archive/reconcile.py:68: comment-block 18 > 4	"""One entry per wire message, in ARRIVAL order: many rows share a `ts` (one row per book level).
cli/archive/reconcile.py:94: comment-block 8 > 4	# The int64 view reads the column's OWN unit as microseconds while the hour bounds always
cli/archive/reconcile.py:119: comment-block 5 > 4	"""True iff the secondary has at least one **update** row inside `gap`.
cli/archive/reconcile.py:130: comment-block 10 > 4	"""`hour_start`/`hour_end` must bound exactly one whole, tz-aware hour.
cli/archive/reconcile.py:172: comment-block 20 > 4	"""Windows where the primary was silent > `min_gap_seconds` AND the secondary was alive inside.
cli/archive/reconcile.py:203: comment-block 10 > 4	"""The complement of `find_book_gaps`: primary silence the secondary did NOT witness.
cli/archive/reconcile.py:263: comment-block 5 > 4	"""Both halves of the primary-silence partition in ONE derivation: (witnessed, unwitnessed).
cli/archive/reconcile.py:300: comment-block 23 > 4	"""What each gap STILL lacks after the splice — the output, measured, not the input assumed.
cli/archive/reconcile.py:350: comment-block 12 > 4	"""How much of `spans` lies inside `windows` — the seconds a SECOND record has already booked.
cli/archive/reconcile.py:378: comment-block 19 > 4	"""Mint the hour as ordered blocks: primary up to each gap, secondary inside it, primary after.
cli/archive/reconcile.py:423: comment-block 6 > 4	"""The healed hour's trades, plus what changed and what the secondary was missing.
cli/archive/reconcile.py:437: comment-block 16 > 4	"""Heal a primary trade deficit from the secondary. Row-level union is safe here — and ONLY
cli/archive/scan_cache.py:1: comment-block 47 > 4	"""Per-hour examination fingerprints for the reconcile skip-cache (spec 00097 D4/D5).
cli/archive/scan_cache.py:1: file-prose 47.5 > 20
cli/archive/scan_cache.py:94: comment-block 7 > 4	"""The whole-cache invalidation key: everything outside the file-set that can change a VERDICT.
cli/archive/scan_cache.py:114: comment-block 7 > 4	"""`(sha256, complete)` over every per-hour input this hour's verdict depends on.
cli/archive/scan_cache.py:156: comment-block 7 > 4	"""One stored entry, or `None` when the JSON does not describe one.
cli/archive/scan_cache.py:176: comment-block 5 > 4	# isinstance, not duck-typing: a JSON-valid scalar (`null`, `3`) reaches .get and would raise
cli/archive/scan_cache.py:192: comment-block 7 > 4	"""Publish the cache atomically. NEVER raises — a failed save degrades to a slow NEXT cycle.
cli/archive/scan_cache.py:215: comment-block 6 > 4	"""Drop the cache. This one RAISES, unlike its two siblings — deliberately, do not "fix" it.
cli/archive/settle.py:1: comment-block 17 > 4	"""Which hours are ready to reconcile, and the losses no witness can heal (spec 00050).
cli/archive/settle.py:1: file-prose 52.8 > 20
cli/archive/settle.py:48: comment-block 5 > 4	"""The trailing window of hours old enough to be complete on both mirrors, OLDEST first.
cli/archive/settle.py:69: comment-block 7 > 4	"""`{pair: {hour, ...}}` for every COMMITTED final of `kind` under `root`.
cli/archive/settle.py:111: comment-block 13 > 4	"""int64-μs view of `stamps`; an int64-μs ndarray passes through, datetimes convert exactly.
cli/archive/settle.py:132: comment-block 13 > 4	"""int64-μs view of a book segment's `ts` column, refusing any unit but microseconds.
cli/archive/settle.py:166: comment-block 17 > 4	"""Windows in which NOTHING was recorded — no pair, on either host.
cli/archive/settle.py:200: comment-block 27 > 4	"""ONE stream's own silence window containing `window` — the fleet-dark intersection.
cli/archive/settle.py:227: comment-block 8 > 4	# KNOWN LIMITATION -- accepted, do not 'fix' incidentally: `edges` starts at hour_start, so a
cli/archive/settle.py:240: comment-block 12 > 4	# Consecutive edges partition the hour, so for a POSITIVE-width window only the interval
cli/archive/settle.py:273: comment-block 6 > 4	"""Why the fleet went dark — TRIAGE ONLY, and deliberately not an input to any booking.
cli/archive/settle.py:293: comment-block 22 > 4	"""Was this episode the VENUE going quiet, or the fleet failing to record?
cli/archive/settle.py:366: comment-block 26 > 4	"""`total_loss`: the hour exists on NEITHER mirror, though the stream demonstrably ran both before
cli/capture/book.py:1: file-prose 35.3 > 20
cli/capture/book.py:43: comment-block 10 > 4	"""Per-pair L2 book state, rebuilt from a WS v2 snapshot and kept current via updates.
cli/capture/book.py:62: comment-block 14 > 4	"""Drop everything beyond the subscribed depth, so the book mirrors Kraken's window exactly.
cli/capture/desync_recovery.py:1: comment-block 25 > 4	"""Bounded desync-recovery ladder (spec 00072, T0008).
cli/capture/desync_recovery.py:1: file-prose 45 > 20
cli/capture/desync_recovery.py:33: comment-block 5 > 4	# Defaults per spec 00072 D3. NOT fitted to production: `zcrypto_capture_resubscribes_total` reads 0
cli/capture/desync_recovery.py:69: comment-block 5 > 4	"""Rung 1 has fired (the transition resubscribe). Start the grace clock.
